id,date_visited,time_active,user_id,page_id,created_at,updated_at
,11/2/2014,0:00:35,1,288,,
,11/8/2014,0:05:54,1,411,,
,11/15/2014,0:04:11,1,219,,
,11/8/2014,0:01:52,1,122,,
,11/23/2014,0:00:17,1,148,,
,11/25/2014,0:09:56,1,68,,
,11/27/2014,0:05:37,1,17,,
,11/29/2014,0:11:23,1,2,,
,11/23/2014,0:12:23,1,20,,
,11/7/2014,0:10:57,1,302,,
,11/5/2014,0:14:07,1,98,,
,11/19/2014,0:04:28,1,203,,
,11/23/2014,0:08:56,1,363,,
,11/29/2014,0:11:05,1,10,,
,11/12/2014,0:10:22,1,347,,
,11/29/2014,0:10:05,1,274,,
,11/20/2014,0:12:23,1,136,,
,11/30/2014,0:12:23,1,465,,
,11/7/2014,0:01:35,1,318,,
,11/28/2014,0:10:13,1,296,,
,11/21/2014,0:03:01,1,303,,
,11/19/2014,0:04:54,1,307,,
,11/24/2014,0:00:17,1,107,,
,11/18/2014,0:07:29,1,401,,
,11/3/2014,0:13:06,1,218,,
,11/7/2014,0:10:57,1,440,,
,11/4/2014,0:00:17,1,458,,
,11/26/2014,0:08:12,1,89,,
,11/11/2014,0:13:32,1,40,,
,11/23/2014,0:02:44,1,186,,
,11/18/2014,0:10:31,1,489,,
,11/20/2014,0:01:18,1,93,,
,11/21/2014,0:14:07,1,403,,
,11/10/2014,0:01:18,1,180,,
,11/8/2014,0:04:11,1,295,,
,11/4/2014,0:03:53,1,126,,
,11/9/2014,0:05:28,1,132,,
,11/9/2014,0:07:12,1,472,,
,11/17/2014,0:07:03,1,190,,
,11/6/2014,0:08:47,1,431,,
,11/23/2014,0:04:54,1,48,,
,11/4/2014,0:09:56,5,314,,
,11/29/2014,0:08:56,1,461,,
,11/30/2014,0:01:26,1,8,,
,11/26/2014,0:13:58,1,100,,
,11/27/2014,0:01:09,1,430,,
,11/3/2014,0:07:55,1,319,,
,11/11/2014,0:13:15,1,458,,
,11/26/2014,0:04:54,1,378,,
,11/26/2014,0:04:28,1,419,,
,11/25/2014,0:08:38,1,438,,
,11/25/2014,0:02:36,1,352,,
,11/7/2014,0:13:49,1,171,,
,11/20/2014,0:10:05,1,187,,
,11/12/2014,0:06:29,1,448,,
,11/9/2014,0:12:58,1,135,,
,11/21/2014,0:10:57,1,484,,
,11/3/2014,0:06:12,1,239,,
,11/30/2014,0:04:45,1,297,,
,11/4/2014,0:07:21,1,22,,
,11/11/2014,0:09:04,1,61,,
,11/16/2014,0:01:35,1,246,,
,11/26/2014,0:06:20,1,211,,
,11/12/2014,0:01:52,1,348,,
,11/30/2014,0:01:26,1,291,,
,11/19/2014,0:12:23,1,455,,
,11/2/2014,0:06:55,1,120,,
,11/13/2014,0:12:23,1,441,,
,11/12/2014,0:00:52,1,185,,
,11/11/2014,0:06:46,1,309,,
,11/10/2014,0:01:00,1,199,,
,11/10/2014,0:02:10,1,131,,
,11/29/2014,0:10:31,1,47,,
,11/10/2014,0:04:11,1,203,,
,11/23/2014,0:10:31,1,277,,
,11/8/2014,0:04:02,1,117,,
,11/9/2014,0:07:21,1,466,,
,11/29/2014,0:06:29,1,420,,
,11/25/2014,0:04:36,1,372,,
,11/28/2014,0:14:24,1,19,,
,11/19/2014,0:05:20,1,454,,
,11/15/2014,0:03:53,1,57,,
,11/29/2014,0:13:41,1,351,,
,11/26/2014,0:07:55,1,163,,
,11/29/2014,0:08:12,1,487,,
,11/29/2014,0:13:58,1,367,,
,11/12/2014,0:07:03,1,82,,
,11/18/2014,0:04:28,1,156,,
,11/7/2014,0:07:03,1,112,,
,11/14/2014,0:09:04,1,331,,
,11/4/2014,0:00:17,1,373,,
,11/20/2014,0:06:03,1,95,,
,11/13/2014,0:00:26,1,207,,
,11/6/2014,0:09:13,1,293,,
,11/13/2014,0:03:27,1,241,,
,11/8/2014,0:12:06,1,7,,
,11/4/2014,0:03:36,1,141,,
,11/1/2014,0:08:04,1,359,,
,11/14/2014,0:05:37,1,171,,
,11/14/2014,0:09:04,1,285,,
,11/16/2014,0:00:00,2,20,,
,11/27/2014,0:12:32,2,223,,
,11/27/2014,0:05:54,2,222,,
,11/2/2014,0:02:36,2,184,,
,11/19/2014,0:02:27,2,215,,
,11/30/2014,0:11:05,2,98,,
,11/21/2014,0:07:47,2,387,,
,11/20/2014,0:09:30,2,244,,
,11/10/2014,0:06:12,2,24,,
,11/23/2014,0:03:36,2,426,,
,11/22/2014,0:10:22,2,81,,
,11/12/2014,0:02:27,2,415,,
,11/7/2014,0:13:24,2,207,,
,11/9/2014,0:04:54,2,252,,
,11/7/2014,0:13:24,2,323,,
,11/6/2014,0:07:55,2,55,,
,11/19/2014,0:13:06,2,185,,
,11/16/2014,0:03:27,2,92,,
,11/23/2014,0:10:22,2,364,,
,11/23/2014,0:08:47,2,420,,
,11/1/2014,0:08:12,2,172,,
,11/22/2014,0:02:36,2,450,,
,11/4/2014,0:05:37,2,471,,
,11/18/2014,0:08:04,2,233,,
,11/29/2014,0:05:37,2,449,,
,11/23/2014,0:00:00,2,380,,
,11/17/2014,0:06:37,2,138,,
,11/10/2014,0:07:29,2,377,,
,11/25/2014,0:13:58,2,385,,
,11/8/2014,0:12:58,2,300,,
,11/9/2014,0:00:26,2,385,,
,11/7/2014,0:14:07,2,286,,
,11/25/2014,0:13:24,2,306,,
,11/11/2014,0:14:24,2,352,,
,11/14/2014,0:06:12,2,195,,
,11/30/2014,0:12:40,2,210,,
,11/24/2014,0:13:24,2,344,,
,11/10/2014,0:11:40,2,324,,
,11/6/2014,0:00:26,2,17,,
,11/1/2014,0:12:06,2,93,,
,11/17/2014,0:14:50,2,377,,
,11/1/2014,0:08:21,2,304,,
,11/1/2014,0:06:37,2,337,,
,11/29/2014,0:07:12,2,413,,
,11/21/2014,0:14:33,2,384,,
,11/10/2014,0:10:39,2,334,,
,11/19/2014,0:02:10,2,295,,
,11/10/2014,0:02:10,2,156,,
,11/7/2014,0:11:48,2,167,,
,11/7/2014,0:11:14,2,389,,
,11/22/2014,0:09:22,2,378,,
,11/3/2014,0:09:39,2,361,,
,11/23/2014,0:12:06,2,159,,
,11/29/2014,0:10:13,2,217,,
,11/3/2014,0:08:04,2,82,,
,11/7/2014,0:12:40,2,29,,
,11/27/2014,0:09:22,2,152,,
,11/22/2014,0:14:24,2,163,,
,11/10/2014,0:00:09,2,276,,
,11/11/2014,0:13:41,2,177,,
,11/29/2014,0:08:04,2,282,,
,11/19/2014,0:00:52,2,304,,
,11/9/2014,0:02:10,2,19,,
,11/7/2014,0:04:54,2,88,,
,11/21/2014,0:08:30,2,431,,
,11/29/2014,0:02:18,2,370,,
,11/26/2014,0:05:28,2,372,,
,11/17/2014,0:07:47,2,404,,
,11/3/2014,0:05:11,2,19,,
,11/28/2014,0:06:29,2,334,,
,11/7/2014,0:00:17,2,365,,
,11/29/2014,0:14:24,2,321,,
,11/25/2014,0:10:39,2,336,,
,11/23/2014,0:05:46,2,108,,
,11/27/2014,0:14:41,2,239,,
,11/17/2014,0:00:26,2,322,,
,11/19/2014,0:00:26,2,223,,
