id,url,display_name,site_id,created_at,updated_at
1,http://stackoverflow.com/questions/3195125/copy-a-table-from-one-database-to-another-in-postgres,postgresql - Copy a table from one database to another in Postgres - Stack Overflow,1,11/6/14 23:40,11/6/14 23:40
2,http://stackoverflow.com/questions/1040932/how-to-convert-activerecord-table-name-to-model-class-name,ruby on rails - How to convert ActiveRecord table name to model class name - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
3,http://stackoverflow.com/questions/7092236/what-is-cdata-in-html,javascript - What is CDATA in HTML - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
4,http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,logging - Properly using Log4r in Ruby Application - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
5,http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,ruby - Log4r - include class name in log output - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
6,http://stackoverflow.com/questions/6713682/contextual-logging-with-log4r,ruby on rails - Contextual Logging with Log4r - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
7,http://stackoverflow.com/questions/5100299/how-to-get-the-name-of-the-calling-method,ruby - How to get the name of the calling method - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
8,http://stackoverflow.com/questions/19579536/rails-4-log4r-server-rb78in-start-undefined-method-formatter,ruby - rails 4 log4r serverrb78in start undefined method formatter - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
9,http://stackoverflow.com/questions/5534300/where-does-the-form-submit-to-if-there-is-no-action-specified,php - Where does the form submit to if there is no action specified - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
10,http://stackoverflow.com/questions/18844863/sinatra-clears-session-on-post,ruby - Sinatra clears session on post - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
11,http://stackoverflow.com/questions/11006645/ruby-custom-error-classes-inheritance-of-the-message-attribute,exception - Ruby custom error classes inheritance of the message attribute - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
12,http://stackoverflow.com/questions/14199784/convert-csv-file-into-array-of-hashes,ruby - Convert CSV file into array of hashes - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
13,http://stackoverflow.com/questions/10334103/get-table-name-from-activerecord,ruby on rails - Get table name from ActiveRecord - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
14,http://stackoverflow.com/questions/11584489/how-can-i-translate-activerecord-model-class-name,ruby on rails - How can I translate ActiveRecord model class name - Stack Overflow,11,10/12/14 19:59,10/12/14 19:59
